City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Stephenville,US,77.95,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
565,Great Falls,US,76.41,few clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
566,Muri,IN,85.23,overcast clouds,23.3667,85.8667,Sanyasi Lodge
568,Madang,PG,86.29,few clouds,-5.2246,145.7966,Comfort Inn Hotel
569,Pascagoula,US,80.24,overcast clouds,30.3658,-88.5561,Regency Inn
572,Darlawn,IN,84.94,scattered clouds,24.0167,92.9,BNRGSK BUILDING
574,Salinópolis,BR,79.09,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
575,San Policarpo,PH,89.96,overcast clouds,12.1791,125.5072,JM Lodge
576,Kurchum,KZ,79.43,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
579,Sinnamary,GF,77.72,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
582,Tabou,CI,75.24,light rain,4.423,-7.3528,hotêl doufoulougou
583,Mulegé,MX,87.98,few clouds,26.8833,-111.9833,Casa Granada
594,Allāpalli,IN,81.7,light rain,19.4167,80.0667,Hotel IK Residency
596,Dingle,PH,89.35,light rain,10.9995,122.6711,SEGAYA PROPERTY
597,Winnemucca,US,87.85,clear sky,40.973,-117.7357,Winners Inn Casino
599,Iralaya,HN,78.89,broken clouds,15.0,-83.2333,Iglesia morava renovada
603,Nizhniy Tsasuchey,RU,75.42,overcast clouds,50.5167,115.1333,
606,Vyazemskiy,RU,89.35,scattered clouds,47.5378,134.7525,Dom Otdykha Dlya Rabotnikov Rzhd
609,Gurlan,UZ,84.11,broken clouds,41.8447,60.3919,ÒJIQ OVUL
610,Avera,US,75.07,clear sky,33.194,-82.5271,
611,Naliya,IN,82.11,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
613,Innisfail,AU,79.88,scattered clouds,-17.5333,146.0333,Moondarra Motel
614,Anda,CN,81.88,broken clouds,46.4,125.3167,Shuntong Hotel
620,Puerto Cabezas,NI,77.4,overcast clouds,14.0351,-83.3888,Cabaña Caribe
621,Chitral,PK,81.01,clear sky,35.8462,71.7858,PTDC Motel Chitral
622,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
624,Siocon,PH,86.92,broken clouds,7.7061,122.1353,ABS Hotel
