City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Dubbo,AU,-32.25,148.6167,57.33,58,75,17.27,broken clouds
229,Mount Gambier,AU,-37.8333,140.7667,55.31,82,75,14.97,broken clouds
230,West Plains,US,36.7281,-91.8524,71.28,84,1,0.0,clear sky
231,Ratnagiri,IN,16.9833,73.3,81.91,81,100,17.52,overcast clouds
232,Najrān,SA,17.4924,44.1277,88.45,40,93,9.93,overcast clouds
233,Hualmay,PE,-11.0964,-77.6139,63.84,86,82,7.45,broken clouds
234,Whitehorse,CA,60.7161,-135.0538,69.03,56,75,5.99,shower rain
235,Aleysk,RU,52.4926,82.7822,69.6,58,78,6.4,broken clouds
236,Kavieng,PG,-2.5744,150.7967,84.72,67,44,4.45,scattered clouds
237,Kruisfontein,ZA,-34.0033,24.7314,56.88,96,99,6.71,light rain
238,Atar,MR,20.5169,-13.0499,90.12,21,2,7.45,clear sky
239,Cidreira,BR,-30.1811,-50.2056,58.78,94,100,8.43,overcast clouds
240,Moerai,PF,-22.4333,-151.3333,74.55,73,1,10.45,clear sky
241,Novobirilyussy,RU,56.9514,90.6661,67.86,78,88,3.02,overcast clouds
242,Curuguaty,PY,-24.4694,-55.6945,56.3,63,100,3.53,overcast clouds
243,Nizwá,OM,22.9333,57.5333,94.78,30,88,3.18,overcast clouds
244,Portland,US,45.5234,-122.6762,89.64,46,40,1.01,smoke
245,Wārāseonī,IN,21.75,80.0333,76.62,91,100,6.55,overcast clouds
246,St. George's,GD,12.0564,-61.7485,80.28,83,20,4.61,few clouds
247,La Santisima Trinidad,BO,-14.8333,-64.9,67.89,50,42,4.29,scattered clouds
248,Pedasí,PA,7.5333,-80.0333,79.81,81,100,3.36,overcast clouds
249,Havre-St-Pierre,CA,50.2334,-63.5986,52.39,93,1,8.05,clear sky
250,Ibrā’,OM,22.6906,58.5334,95.11,31,45,2.24,scattered clouds
251,São Filipe,CV,14.8961,-24.4956,76.98,88,100,1.28,overcast clouds
252,Nelson Bay,AU,-32.7167,152.15,71.29,49,2,4.0,clear sky
253,Kenai,US,60.5544,-151.2583,61.14,90,20,0.0,few clouds
254,Praia,CV,14.9215,-23.5087,77.54,94,75,4.61,broken clouds
255,Eyl,SO,7.9803,49.8164,79.59,66,14,24.61,few clouds
256,Mackay,AU,-21.15,149.2,73.04,37,5,16.11,clear sky
257,Ottawa,CA,45.4112,-75.6981,72.23,79,1,5.75,clear sky
258,Talnakh,RU,69.4865,88.3972,79.47,40,5,3.78,clear sky
259,Kasongo,CD,-4.45,26.6667,72.86,50,17,2.39,few clouds
260,Nara,JP,34.6851,135.8049,97.92,38,0,5.53,clear sky
261,Pānchgani,IN,17.9167,73.8167,64.87,94,100,9.06,overcast clouds
262,Pangai,TO,-19.8,-174.35,75.31,53,20,5.75,few clouds
263,Lompoc,US,34.6391,-120.4579,67.1,83,75,9.22,mist
264,Aloleng,PH,16.1307,119.7824,83.7,83,92,24.16,light rain
265,Chukhloma,RU,58.7525,42.6825,57.02,62,33,2.33,scattered clouds
266,Derzhavīnsk,KZ,51.1,66.3167,79.95,35,15,6.26,few clouds
267,Klaksvík,FO,62.2266,-6.589,54.52,99,100,6.53,overcast clouds
268,Vestmannaeyjar,IS,63.4427,-20.2734,55.27,85,93,9.4,overcast clouds
269,Orlik,RU,52.5178,99.825,70.68,46,93,1.7,overcast clouds
270,Danao,PH,10.5208,124.0272,91.45,56,100,11.16,overcast clouds
271,Makakilo City,US,21.3469,-158.0858,80.92,68,75,9.22,broken clouds
272,Malakal,SS,9.5334,31.6605,72.57,91,87,1.97,overcast clouds
