City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ponta Do Sol,PT,2021-08-03 11:33:41,32.6667,-17.1,76.71,71,18,5.1
59,Bandarbeyla,SO,2021-08-03 11:33:42,9.4942,50.8122,88.0,50,85,31.12
60,Rawson,AR,2021-08-03 11:33:42,-43.3002,-65.1023,47.17,72,38,5.37
61,Samarai,PG,2021-08-03 11:33:42,-10.6167,150.6667,79.32,75,92,11.21
62,Cape Town,ZA,2021-08-03 11:33:39,-33.9258,18.4232,71.11,53,0,3.44
63,Vangaindrano,MG,2021-08-03 11:33:43,-23.35,47.6,72.25,68,29,12.06
64,Moa,CU,2021-08-03 11:33:43,20.6569,-74.9403,80.78,81,100,11.16
65,Kapaa,US,2021-08-03 11:33:44,22.0752,-159.319,79.12,77,40,5.01
66,Hithadhoo,MV,2021-08-03 11:33:44,-0.6,73.0833,82.72,73,100,5.3
67,Khatanga,RU,2021-08-03 11:33:44,71.9667,102.5,77.09,45,100,14.03
68,Melendugno,IT,2021-08-03 11:33:45,40.2747,18.3368,93.85,40,0,8.05
69,Imeni Poliny Osipenko,RU,2021-08-03 11:33:45,52.4201,136.4853,53.44,98,100,7.85
70,Grand Gaube,MU,2021-08-03 11:33:45,-20.0064,57.6608,77.38,43,0,7.0
71,Fukuma,JP,2021-08-03 11:33:46,33.7667,130.4667,87.8,87,99,4.14
72,Sao Felix Do Xingu,BR,2021-08-03 11:29:59,-6.6447,-51.995,72.32,51,8,2.04
73,Mae Sai,TH,2021-08-03 11:33:46,20.4335,99.8762,78.12,96,92,1.25
74,Vaini,TO,2021-08-03 11:33:47,-21.2,-175.2,69.96,78,75,8.05
75,Muravlenko,RU,2021-08-03 11:33:47,63.7898,74.523,72.34,45,20,13.47
76,Puerto Ayora,EC,2021-08-03 11:33:48,-0.7393,-90.3518,69.89,89,76,8.59
77,Kano,NG,2021-08-03 11:33:48,12.0001,8.5167,85.89,66,20,8.05
78,Mahebourg,MU,2021-08-03 11:33:48,-20.4081,57.7,77.25,50,40,16.11
79,Alofi,NU,2021-08-03 11:33:49,-19.0595,-169.9187,69.69,88,86,5.75
80,Vestmannaeyjar,IS,2021-08-03 11:33:49,63.4427,-20.2734,54.59,94,90,13.8
81,Bathsheba,BB,2021-08-03 11:33:50,13.2167,-59.5167,83.01,74,40,12.66
82,Mozarlandia,BR,2021-08-03 11:33:50,-14.7447,-50.5706,79.97,31,68,3.36
83,Codrington,AU,2021-08-03 11:33:51,-38.2667,141.9667,48.74,76,99,16.22
84,Sao Joao Da Barra,BR,2021-08-03 11:33:51,-21.6403,-41.0511,64.49,72,0,3.87
85,Kavaratti,IN,2021-08-03 11:33:52,10.5669,72.642,82.15,77,55,14.74
